Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Anwil;4469;0;Anwil;BL;638148;255650
Anzonico;6748;0;Faido;TI;709456;143244
Anzère;1972;0;Ayent;VS;596986;127483
Appenzell;9050;0;Appenzell;AI;748474;243834
Appenzell Eggerstanden;9050;2;Rüte;AI;753420;244341
Appenzell Enggenhütten;9050;3;Schlatt-Haslen;AI;745330;246471
Appenzell Meistersrüte;9050;5;Appenzell;AI;750649;245665
Appenzell Schlatt;9050;7;Schlatt-Haslen;AI;747897;246887
Appenzell Steinegg;9050;6;Rüte;AI;751029;243216
Apples;1143;0;Apples;VD;522542;156162
Aproz (Nendaz);1994;2;Nendaz;VS;590282;117165
Aquila;6719;0;Blenio;TI;715889;151395
Aquila;6719;0;Blenio;TI;715930;164358
Aquila;6719;0;Blenio;TI;716903;157671
Aran;1091;1;Bourg-en-Lavaux;VD;544090;149892
Aranno;6994;0;Aranno;TI;711089;97278.3
Arbaz;1974;0;Arbaz;VS;595756;124653
Arbedo;6517;0;Arbedo-Castione;TI;724069;119308
Arboldswil;4424;0;Arboldswil;BL;621128;251794
Arbon;9320;0;Arbon;TG;750504;264637
Arcegno;6618;0;Losone;TI;700723;113161
Arcegno;6618;0;Ronco sopra Ascona;TI;700914;112204
Arch;3296;0;Arch;BE;599157;223654
Arconciel;1732;0;Arconciel;FR;575883;177346
Ardez;7546;0;Scuol;GR;811010;184191
Ardon;1957;0;Ardon;VS;585639;117682
Areuse;2015;0;Boudry;NE;555709;200455
Arezen;7104;3;Safiental;GR;744757;182986
Argnou (Ayent);1966;10;Ayent;VS;597000;123573
Arisdorf;4422;0;Arisdorf;BL;624930;262706
Aristau;5628;0;Aristau;AG;669772;237748
Arlesheim;4144;0;Arlesheim;BL;614176;260496
Arnegg;9212;0;Gossau (SG);SG;736983;256492
Arnex-sur-Nyon;1277;1;Arnex-sur-Nyon;VD;504044;136759
Arnex-sur-Orbe;1321;0;Arnex-sur-Orbe;VD;529672;171749
Arni AG;8905;3;Arni (AG);AG;674547;241283
Arni BE;3508;0;Arni (BE);BE;617472;198361
Arogno;6822;0;Arogno;TI;720015;91085
Arolla;1986;0;Evolène;VS;603453;97032.5
Arosa;7050;0;Arosa;GR;770548;183390
Arosio;6939;2;Alto Malcantone;TI;713151;100656
Arth;6415;0;Arth;SZ;682382;213076
Arveyes;1884;2;Ollon;VD;571014;126448
Arvigo;6543;0;Calanca;GR;729022;129248
Arvillard (Salins);1991;2;Sion;VS;592845;117731
Arzier;1273;0;Arzier-Le Muids;VD;505415;146208
