Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;Kantonskürzel;E;N
Dübendorf;8600;0;Dübendorf;ZH;688487;249678
Düdingen;3186;0;Düdingen;FR;581086;188351
Dürnten;8635;0;Dürnten;ZH;705924;237390
Dürrenroth;3465;0;Dürrenroth;BE;627144;215374
Dürrenäsch;5724;0;Dürrenäsch;AG;654115;241104
Ebersecken;6245;0;Ebersecken;LU;637489;225681
Ebersol;9122;2;Neckertal;SG;729429;245640
Ebertswil;8925;0;Hausen am Albis;ZH;684409;231231
Ebikon;6030;0;Ebikon;LU;668465;214924
Ebmatingen;8123;0;Maur;ZH;690929;245401
Ebnat-Kappel;9642;0;Ebnat-Kappel;SG;727186;235796
Ebnet;6163;0;Entlebuch;LU;648792;208331
Echallens;1040;0;Echallens;VD;538398;165819
Echandens;1026;3;Echandens;VD;531244;153895
Echarlens;1646;0;Echarlens;FR;572208;166356
Echichens;1112;0;Echichens;VD;527877;153179
Eclagnens;1376;2;Goumoëns;VD;535145;167044
Eclépens;1312;0;Eclépens;VD;530117;167211
Ecoteaux;1612;0;Oron;VD;555796;155101
Ecublens FR;1673;4;Ecublens (FR);FR;551722;162120
Ecublens VD;1024;0;Ecublens (VD);VD;532739;153135
Ecuvillens;1730;0;Hauterive (FR);FR;573124;178604
Ederswiler;2813;0;Ederswiler;JU;592223;252882
Edlibach;6313;2;Menzingen;ZG;685868;226040
Effingen;5078;0;Effingen;AG;649949;260016
Effretikon;8307;0;Illnau-Effretikon;ZH;694824;252944
Egerkingen;4622;0;Egerkingen;SO;627037;241764
Egg (Flawil);9231;0;Flawil;SG;734778;250542
Egg SZ;8847;0;Einsiedeln;SZ;701755;224241
Egg b. Zürich;8132;0;Egg;ZH;694746;239619
Eggenwil;5445;0;Eggenwil;AG;668020;246648
Eggerberg;3939;0;Eggerberg;VS;633998;128624
Eggersriet;9034;0;Eggersriet;SG;752886;256788
Eggiwil;3537;0;Eggiwil;BE;627500;191638
Eglisau;8193;0;Eglisau;ZH;681348;269991
Egliswil;5704;0;Egliswil;AG;656802;244807
Egnach;9322;0;Egnach;TG;746368;268188
Egolzwil;6243;0;Egolzwil;LU;642748;226091
Ehrendingen;5420;0;Ehrendingen;AG;668480;261088
Eich;6205;0;Eich;LU;655527;222745
Eichberg;9453;0;Eichberg;SG;757985;245902
Eigenthal;6013;0;Schwarzenberg;LU;659013;206639
Eigergletscher;3823;2;Lauterbrunnen;BE;641027;158323
Eiken;5074;0;Eiken;AG;641383;265211
Einigen;3646;0;Spiez;BE;615858;173157
Einsiedeln;8840;0;Einsiedeln;SZ;699480;220540
Eischoll;3943;0;Eischoll;VS;626407;127114
Eison (St.Martin);1969;5;Saint-Martin (VS);VS;602477;111114
Eisten;3922;2;Eisten;VS;635101;116514
Elfingen;5077;0;Elfingen;AG;650047;262090
Elgg;8353;0;Elgg;ZH;707334;261453
Ellighausen;8566;4;Kemmental;TG;727866;274969
Ellikon am Rhein;8464;0;Marthalen;ZH;687399;273490
Ellikon an der Thur;8548;0;Ellikon an der Thur;ZH;703948;269114
Elm;8767;0;Glarus Süd;GL;732250;197844
Elsau;8352;0;Elsau;ZH;702954;262350
Embd;3926;0;Embd;VS;630146;118391
Embrach;8424;0;Embrach;ZH;687140;261805
Emdthal;3711;0;Aeschi bei Spiez;BE;618856;167040
Emmen;6032;0;Emmen;LU;665602;214583
Emmenbrücke;6020;0;Emmen;LU;663418;214369
Emmenmatt;3543;0;Lauperswil;BE;623323;200025
Emmetten;6376;0;Emmetten;NW;682547;201070
Endingen;5304;0;Endingen;AG;664704;265490
Engelberg;6390;0;Engelberg;OW;673649;185458
Engelburg;9032;0;Gaiserwald;SG;743726;256611
Enges;2073;0;Enges;NE;567609;211803
Enggistein;3077;0;Worb;BE;612255;197975
Engi;8765;0;Glarus Süd;GL;730296;204711
Engishofen;8586;8;Erlen;TG;736288;268875
Englisberg;3086;2;Wald (BE);BE;601980;194117
Engollon;2063;2;Val-de-Ruz;NE;560686;209794
Engwang;8556;2;Wigoltingen;TG;721462;273444
Engwilen;8564;2;Wäldi;TG;724700;275214
Ennenda;8755;0;Glarus;GL;724815;210877
Ennetaach;8586;9;Erlen;TG;733679;268255
Ennetbaden;5408;0;Ennetbaden;AG;666732;259241
Ennetbühl;9651;0;Nesslau;SG;734350;233908
Ennetbürgen;6373;0;Ennetbürgen;NW;673968;204561
Ennetmoos;6372;0;Ennetmoos;NW;667989;201097
Enney;1667;0;Bas-Intyamon;FR;572777;157282
Entlebuch;6162;0;Entlebuch;LU;647624;204763
Epagny;1663;3;Gruyères;FR;572935;159710
Epalinges;1066;0;Epalinges;VD;541326;155248
Epautheyres;1417;2;Essertines-sur-Yverdon;VD;539209;176788
Epauvillers;2885;0;Clos du Doubs;JU;575583;242753
Ependes FR;1731;0;Ependes (FR);FR;577664;178189
Ependes VD;1434;0;Ependes (VD);VD;536563;177434
Epesses;1098;0;Bourg-en-Lavaux;VD;546989;149101
Epiquerez;2886;0;Clos du Doubs;JU;571221;242046
Eppenberg;5012;4;Eppenberg-Wöschnau;SO;644180;247510
Epsach;3272;2;Epsach;BE;583524;213294
Eptingen;4458;0;Eptingen;BL;629078;248435
Erde;1976;0;Conthey;VS;588580;120922
Ergisch;3947;0;Ergisch;VS;621148;126654
Eriswil;4952;0;Eriswil;BE;631296;214204
Eriz;3619;0;Eriz;BE;625559;181992
Erlach;3235;0;Erlach;BE;573913;210162
Erlen;8586;0;Erlen;TG;735128;268168
Erlenbach ZH;8703;0;Erlenbach (ZH);ZH;687339;239504
Erlenbach im Simmental;3762;0;Erlenbach im Simmental;BE;608230;167498
Erlinsbach;5018;0;Erlinsbach (AG);AG;643615;250539
Erlinsbach SO;5015;0;Erlinsbach (SO);SO;642417;250136
Ermatingen;8272;0;Ermatingen;TG;723301;281205
Ermensee;6294;0;Ermensee;LU;660897;231086
Ermenswil;8734;0;Eschenbach (SG);SG;709820;233720
Ernen;3995;0;Ernen;VS;654697;138816
Ernetschwil;8725;0;Gommiswald;SG;718383;233118
Erschmatt;3957;0;Leuk;VS;619506;130241
Erschwil;4228;0;Erschwil;SO;607444;246914
Ersigen;3423;0;Ersigen;BE;611693;216074
Erstfeld;6472;0;Erstfeld;UR;692778;186159
Eschen;9492;0;;LI;757708;230754
Eschenbach LU;6274;0;Eschenbach (LU);LU;666888;220574
Eschenbach SG;8733;0;Eschenbach (SG);SG;712339;233595
Eschenz;8264;0;Eschenz;TG;707923;278309
Eschert;2743;0;Eschert;BE;597330;236015
Eschikofen;8553;5;Hüttlingen;TG;717820;271075
Eschlikon TG;8360;0;Eschlikon;TG;714777;258317
Escholzmatt;6182;0;Escholzmatt-Marbach;LU;638262;195922
Esmonts;1670;3;Ursy;FR;554489;165819
Essert FR;1724;2;Le Mouret;FR;579047;176353
Essert-Pittet;1435;0;Essert-Pittet;VD;534660;175532
Essert-sous-Champvent;1443;2;Champvent;VD;534798;182801
Essertes;1078;0;Essertes;VD;550198;157001
Essertines-sur-Rolle;1186;0;Essertines-sur-Rolle;VD;513958;149707
Essertines-sur-Yverdon;1417;0;Essertines-sur-Yverdon;VD;538786;174440
Esslingen;8133;0;Egg;ZH;696144;238274
Estavannens;1665;0;Bas-Intyamon;FR;574166;157223
Estavayer-le-Gibloux;1695;3;Le Glèbe;FR;568389;174613
Estavayer-le-Lac;1470;0;Estavayer-le-Lac;FR;554892;188932
Estévenens;1687;3;Vuisternens-devant-Romont;FR;563104;168556
Etagnières;1037;0;Etagnières;VD;536657;161315
Etoy;1163;0;Etoy;VD;521830;148820
Ettenhausen TG;8356;0;Aadorf;TG;710128;259410
Ettingen;4107;0;Ettingen;BL;608490;258580
Ettiswil;6218;0;Ettiswil;LU;643676;222111
Etzelkofen;3306;0;Fraubrunnen;BE;603190;214829
Etzgen;5275;0;Mettauertal;AG;650175;269400
Etziken;4554;0;Etziken;SO;615817;226512
Etzwilen;8259;2;Wagenhausen;TG;703886;279618
Euseigne;1982;0;Hérémence;VS;598582;113221
Euthal;8844;0;Einsiedeln;SZ;704596;217000
Evilard;2533;0;Evilard;BE;584906;222112
Evionnaz;1902;0;Evionnaz;VS;567949;114195
Evolène;1983;0;Evolène;VS;604303;106609
Eyholz;3930;2;Visp;VS;636404;127073
Eysins;1262;0;Eysins;VD;505069;137185
Fahrni b. Thun;3617;0;Fahrni;BE;616772;183012
Fahrwangen;5615;0;Fahrwangen;AG;660785;238528
Fahrweid;8951;0;Weiningen (ZH);ZH;673988;251369
Fahy;2916;0;Fahy;JU;563066;252012
Faido;6760;0;Faido;TI;704375;148402
Fajauna;7226;2;Schiers;GR;772220;204668
Falera;7153;0;Falera;GR;736631;185208
Fanas;7215;0;Grüsch;GR;769479;206116
Fankhaus (Trub);3557;0;Trub;BE;635773;202085
Faoug;1595;0;Faoug;VD;572479;195357
Farden;7433;2;Donat;GR;752053;166608
Farnern;4539;2;Farnern;BE;613558;235129
Farvagny;1726;0;Farvagny;FR;571524;174590
Farvagny-le-Petit;1726;2;Farvagny;FR;572026;175319
Faulensee;3705;0;Spiez;BE;619837;169455
Fehraltorf;8320;0;Fehraltorf;ZH;699033;249836
Fehren;4232;0;Fehren;SO;610445;249531
Felben-Wellhausen;8552;0;Felben-Wellhausen;TG;713031;270517
Feldbach;8714;0;Hombrechtikon;ZH;702237;232813
Feldbrunnen;4532;0;Feldbrunnen-St. Niklaus;SO;608647;230040
Feldis/Veulden;7404;0;Domleschg;GR;752226;184316
Felsberg;7012;0;Felsberg;GR;754970;190261
Fenalet-sur-Bex;1880;3;Bex;VD;568325;124589
Fenil-sur-Corsier;1809;0;Corsier-sur-Vevey;VD;556016;148356
Fenin;2063;3;Val-de-Ruz;NE;560793;208242
Fenkrieden;5645;2;Sins;AG;670682;223399
Ferden;3916;0;Ferden;VS;624404;138245
Ferenbalm;3206;1;Ferenbalm;BE;582704;199720
Ferlens VD;1076;0;Ferlens (VD);VD;549959;159953
Ferpicloz;1724;3;Ferpicloz;FR;579055;177449
Ferreyres;1313;0;Ferreyres;VD;527045;167904
Fescoggia;6938;1;Alto Malcantone;TI;711353;99794.2
Feuerthalen;8245;0;Feuerthalen;ZH;690701;282472
Feusisberg;8835;0;Feusisberg;SZ;699213;227135
Feutersoey;3784;0;Gsteig;BE;587096;140740
Fex;7514;2;Sils im Engadin/Segl;GR;778704;143211
Fey;1044;0;Fey;VD;542048;169709
Fey (Nendaz);1996;1;Nendaz;VS;587131;115250
Fiaugères;1609;0;Saint-Martin (FR);FR;558044;159585
Fiaugères;1609;0;Saint-Martin (FR);FR;557276;160425
Fidaz;7019;0;Flims;GR;742901;189394
Fideris;7235;0;Fideris;GR;775315;198449
Fiesch;3984;0;Bellwald;VS;655624;141118
Fiesch;3984;0;Fiesch;VS;653259;139464
Fieschertal;3984;2;Fieschertal;VS;654331;141538
Fiez;1420;0;Fiez;VD;537812;186453
Figino;6918;0;Lugano;TI;714110;89947.5
Filet;3983;3;Mörel-Filet;VS;647294;134557
Filisur;7477;0;Filisur;GR;772144;171700
Filzbach;8757;0;Glarus Nord;GL;728446;220479
Finhaut;1925;0;Finhaut;VS;564066;103539
Finsterhennen;2577;2;Finsterhennen;BE;580214;208363
Finstersee;6313;3;Menzingen;ZG;690621;224642
Finsterwald b. Entlebuch;6162;3;Entlebuch;LU;650263;202827
Fionnay;1948;1;Bagnes;VS;590134;97828.4
Fischbach LU;6145;0;Fischbach;LU;635583;222897
Fischbach-Göslikon;5525;0;Fischbach-Göslikon;AG;665898;246841
Fischenthal;8497;0;Fischenthal;ZH;711913;243345
Fischingen;8376;0;Fischingen;TG;715729;252788
Fisibach;5467;0;Fisibach;AG;672825;268456
Fislisbach;5442;0;Fislisbach;AG;664739;254603
Flaach;8416;0;Flaach;ZH;687761;270367
Flamatt;3175;0;Wünnewil-Flamatt;FR;590096;193168
Flanthey;3978;0;Lens;VS;601178;124268
Flawil;9230;0;Flawil;SG;732090;252599
Flendruz;1659;2;Rougemont;VD;580329;148050
Flerden;7426;0;Flerden;GR;750429;174335
Flerden;7426;0;Flerden;GR;749767;171016
Fleurier;2114;0;Val-de-Travers;NE;534717;194827
Flims Dorf;7017;0;Flims;GR;740902;189316
Flims Waldhaus;7018;0;Flims;GR;740895;187901
Flond;7137;0;Mundaun;GR;731555;181044
Flumenthal;4534;0;Flumenthal;SO;612335;231632
Flums;8890;0;Flums;SG;744869;217520
Flums Hochwiese;8893;0;Flums;SG;746931;216566
Flumserberg Bergheim;8896;0;Flums;SG;742106;217934
Flumserberg Portels;8895;0;Flums;SG;744025;216143
Flumserberg Saxli;8894;0;Flums;SG;745426;215548
Flumserberg Tannenbodenalp;8898;0;Flums;SG;740073;217355
Flumserberg Tannenheim;8897;0;Flums;SG;741749;216777
Flurlingen;8247;0;Flurlingen;ZH;689626;282366
Fläsch;7306;0;Fläsch;GR;757349;210632
Flüelen;6454;0;Flüelen;UR;690663;195606
Flüeli-Ranft;6073;0;Sachseln;OW;662909;191534
Flüh;4112;2;Hofstetten-Flüh;SO;604521;259195
Flühli LU;6173;0;Flühli;LU;644292;192281
Font;1473;0;Estavayer-le-Lac;FR;552256;187223
Fontaine Dessous (Liddes);1945;3;Liddes;VS;579035;95415.9
Fontaine Dessus (Liddes);1945;2;Liddes;VS;579502;94943.1
Fontainemelon;2052;0;Val-de-Ruz;NE;558117;211781
Fontaines NE;2046;0;Val-de-Ruz;NE;559141;210437
Fontaines-sur-Grandson;1421;0;Fontaines-sur-Grandson;VD;537495;187459
Fontanezier;1423;2;Tévenon;VD;540114;189491
Fontannen b. Wolhusen;6110;2;Wolhusen;LU;645672;209594
Fontenais;2902;0;Fontenais;JU;573011;250302
Fontnas;9476;2;Wartau;SG;755632;217547
Forch;8127;0;Küsnacht (ZH);ZH;691515;241959
Forel (Lavaux);1072;0;Forel (Lavaux);VD;548699;154649
Forel FR;1475;2;Vernay;FR;558031;191750
Forel-sur-Lucens;1526;0;Forel-sur-Lucens;VD;552939;175490
Formangueires;1782;6;La Sonnaz;FR;575481;186304
Fornet-Dessous;2717;0;Petit-Val;BE;579910;236630
Fornet-Dessus;2718;2;Lajoux (JU);JU;578842;236504
Fornex (Liddes);1945;7;Liddes;VS;578656;95298.6
Forst b. Längenbühl;3636;2;Forst-Längenbühl;BE;606523;179175
Fortunau (Ayent);1966;2;Ayent;VS;598201;126163
Founex;1297;0;Founex;VD;504066;132044
Frasco;6636;0;Frasco;TI;704970;133005
Frasnacht;9320;2;Arbon;TG;748130;265922
Frasses;1483;2;Les Montets;FR;556121;186339
Fraubrunnen;3312;0;Fraubrunnen;BE;607061;215129
Frauenfeld;8500;0;Frauenfeld;TG;708890;269391
Frauenkappelen;3202;0;Frauenkappelen;BE;592806;200415
Fregiécourt;2953;2;La Baroche;JU;581564;251434
Freidorf TG;9306;0;Roggwil (TG);TG;747323;261359
Freienbach;8807;0;Freienbach;SZ;700149;229108
Freienstein;8427;2;Freienstein-Teufen;ZH;686760;265290
Freienwil;5423;0;Freienwil;AG;666512;261597
Freimettigen;3510;8;Freimettigen;BE;614671;190599
Frenières-sur-Bex;1880;2;Bex;VD;571687;123407
Frenkendorf;4402;0;Frenkendorf;BL;620200;261267
Fresens;2027;3;Fresens;NE;547206;193290
Fretereules;2149;2;Brot-Dessous;NE;548808;201435
Freudwil;8615;2;Uster;ZH;697647;248043
Fribourg;1700;0;Fribourg;FR;578944;183928
Frick;5070;0;Frick;AG;644283;261615
Frieswil;3035;0;Seedorf (BE);BE;588350;204886
Friltschen;9504;0;Bussnang;TG;724084;266606
Frinvillier;2535;0;Sauge;BE;586293;224215
Froideville;1055;0;Froideville;VD;541930;161449
Fruthwilen;8269;0;Salenstein;TG;722155;280020
Frutigen;3714;0;Frutigen;BE;615416;159597
Fräschels;3284;0;Fräschels;FR;582695;204951
Frümsen;9467;0;Sennwald;SG;753954;234501
Ftan;7551;0;Scuol;GR;814293;186606
Fuldera;7533;0;Val Müstair;GR;824629;166130
Fulenbach;4629;0;Fulenbach;SO;629714;236337
Full-Reuenthal;5324;0;Full-Reuenthal;AG;657456;273399
Fully;1926;0;Fully;VS;574889;109688
Furna;7232;0;Furna;GR;770294;200859
Fusio;6696;0;Lavizzara;TI;693855;144490
Fällanden;8117;0;Fällanden;ZH;691163;247562
Féchy;1173;0;Féchy;VD;517932;148320
Fétigny;1532;0;Fétigny;FR;560060;183014
Füllinsdorf;4414;0;Füllinsdorf;BL;621835;262334
Fürigen;6363;1;Stansstad;NW;669478;203829
Fürstenau;7414;0;Fürstenau;GR;753651;176461
Fürstenaubruck;7413;0;Fürstenau;GR;753832;175666
Gabi (Simplon);3907;3;Simplon;VS;648984;114893
Gachnang;8547;0;Gachnang;TG;706903;266341
Gadenstätt;7244;0;Luzein;GR;779228;201952
Gadmen;3863;0;Innertkirchen;BE;669573;176756
Gais;9056;0;Gais;AR;752307;247671
Galgenen;8854;2;Galgenen;SZ;708523;226689
Galmiz;3285;0;Galmiz;FR;578624;199913
Gals;3238;0;Gals;BE;570430;208607
Gammen;3206;4;Ferenbalm;BE;583984;196615
Gampel;3945;0;Gampel-Bratsch;VS;623054;129148
Gampelen;3236;0;Gampelen;BE;571152;207130
Gamprin-Bendern;9487;0;;LI;756573;231613
Gams;9473;0;Gams;SG;751649;230024
Gamsen;3900;2;Brig-Glis;VS;639762;128188
Gandria;6978;0;Lugano;TI;721092;96146
Gansingen;5272;0;Gansingen;AG;652804;266031
Ganterschwil;9608;0;Bütschwil-Ganterschwil;SG;724693;248812
Gasel;3144;0;Köniz;BE;597412;193937
Gattikon;8136;0;Thalwil;ZH;684280;237450
Gebenstorf;5412;0;Gebenstorf;AG;660631;258814
Gebertingen;8725;2;Gommiswald;SG;718388;234909
Geiss;6123;0;Menznau;LU;646875;215653
Gelfingen;6284;0;Hitzkirch;LU;663092;229631
Gelterfingen;3126;2;Gelterfingen;BE;605873;188152
Gelterkinden;4460;0;Gelterkinden;BL;631479;256561
Geltwil;5637;2;Geltwil;AG;667174;233500
Gempen;4145;0;Gempen;SO;616360;258368
Gempenach;3215;0;Gempenach;FR;581645;198877
Genestrerio;6852;0;Mendrisio;TI;718386;79202.4
Genolier;1272;0;Genolier;VD;506182;143321
Genthod;1294;0;Genthod;GE;501234;124512
Gentilino;6925;0;Collina d'Oro;TI;715621;94423.9
Genève;1202;0;Genève;GE;500431;117436
Genève;1206;0;Genève;GE;501190;115884
Genève;1203;0;Genève;GE;498512;118310
Genève;1205;0;Genève;GE;500032;116801
Genève;1207;0;Genève;GE;501525;118130
Genève;1208;0;Genève;GE;501758;117235
Genève;1201;0;Genève;GE;500291;118468
Genève;1209;0;Genève;GE;498595;119784
Genève;1204;0;Genève;GE;500149;117598
Genève;1215;0;Le Grand-Saconnex;GE;497270;121290
Gerlafingen;4563;0;Gerlafingen;SO;610085;224402
Gerlikon;8500;4;Frauenfeld;TG;708587;266066
Geroldswil;8954;0;Geroldswil;ZH;673526;252912
Gerolfingen;2575;1;Täuffelen;BE;581971;213804
Gerra (Gambarogno);6576;0;Gambarogno;TI;704214;108686
Gerra (Verzasca);6635;0;Cugnasco-Gerra;TI;704727;130630
Gersau;6442;0;Gersau;SZ;683047;205402
Gerzensee;3115;0;Gerzensee;BE;608298;187468
Geschinen;3985;2;Münster-Geschinen;VS;664806;149722
Gettnau;6142;0;Gettnau;LU;640306;221379
Geuensee;6232;0;Geuensee;LU;651098;227932
Ghirone;6720;2;Blenio;TI;715479;157717
Gibswil;8498;0;Fischenthal;ZH;711645;241392
Giebenach;4304;0;Giebenach;BL;622676;263627
Giez;1429;0;Giez;VD;537243;184598
Giffers;1735;0;Giffers;FR;582709;179053
Gillarens;1673;2;Rue;FR;553113;159763
Gilly;1182;0;Gilly;VD;512550;145956
Gimel;1188;0;Gimel;VD;513356;151383
Gimmelwald;3826;0;Lauterbrunnen;BE;634871;155190
Gingins;1276;0;Gingins;VD;503199;140569
Giornico;6745;0;Giornico;TI;710547;140012
Gipf-Oberfrick;5073;0;Gipf-Oberfrick;AG;641760;260827
Gisikon;6038;0;Gisikon;LU;673213;220007
Giswil;6074;0;Giswil;OW;656655;187570
Giubiasco;6512;0;Giubiasco;TI;721123;114911
Giumaglio;6678;0;Maggia;TI;695863;125513
Givisiez;1762;0;Givisiez;FR;576183;184608
Givrins;1271;0;Givrins;VD;504958;142740
Gland;1196;0;Gland;VD;509798;142047
Glarus;8750;0;Glarus;GL;723088;211328
Glashütten;4856;0;Murgenthal;AG;630795;234274
Glaspass;7428;2;Tschappina;GR;746036;171308
Glattbrugg;8152;0;Opfikon;ZH;684671;254144
Glattfelden;8192;0;Glattfelden;ZH;679712;267825
Glattpark (Opfikon);8152;2;Opfikon;ZH;684834;253155
Gletterens;1544;0;Gletterens;FR;561785;193913
Glion;1823;0;Montreux;VD;560647;142240
Glis;3902;0;Brig-Glis;VS;641724;128814
Glovelier;2855;0;Haute-Sorne;JU;581948;242332
Gluringen;3998;1;Reckingen-Gluringen;VS;660878;146402
Gnosca;6525;0;Gnosca;TI;722017;121503
Gockhausen;8044;1;Dübendorf;ZH;687881;248707
Gohl;3553;0;Langnau im Emmental;BE;628141;200608
Golaten;3207;2;Golaten;BE;585247;203809
Goldach;9403;0;Goldach;SG;752725;260037
Goldau;6410;0;Arth;SZ;684893;211670
Goldingen;8638;0;Eschenbach (SG);SG;715378;235944
Goldiwil (Thun);3624;0;Thun;BE;617308;178982
Goldswil b. Interlaken;3805;0;Ringgenberg (BE);BE;633778;171802
Golino;6656;0;Centovalli;TI;698486;114992
Gollion;1124;0;Gollion;VD;528704;159753
Gommiswald;8737;0;Gommiswald;SG;719694;232401
Gommiswald;8737;0;Gommiswald;SG;722602;234132
Gondiswil;4955;0;Gondiswil;BE;632865;221786
Gondo;3907;4;Zwischbergen;VS;654056;116379
Gonten;9108;0;Gonten;AI;744211;243851
Gontenbad;9108;2;Gonten;AI;746061;244039
Gontenschwil;5728;0;Gontenschwil;AG;653822;236096
Goppenstein;3917;2;Ferden;VS;624418;135197
Goppisberg;3983;4;Riederalp;VS;646968;135736
Gordevio;6672;0;Avegno Gordevio;TI;700261;120170
Gordola;6596;0;Gordola;TI;709750;115975
Gorduno;6518;0;Gorduno;TI;722942;119727
Gorgier;2023;0;Gorgier;NE;549857;194883
Gossau SG;9200;0;Gossau (SG);SG;737326;253153
Gossau ZH;8625;0;Gossau (ZH);ZH;700134;239751
Gossens;1407;2;Donneloye;VD;543569;176723
Gossliwil;4579;0;Buchegg;SO;599459;220621
Gottlieben;8274;2;Gottlieben;TG;727307;280615
Goumoens-la-Ville;1376;0;Goumoëns;VD;536047;167770
Goumoens-le-Jux;1376;3;Goumoëns;VD;534862;168654
Goumois;2354;0;Saignelégier;JU;563212;234611
Graben;3376;0;Graben;BE;621147;229408
Grabs;9472;0;Grabs;SG;752223;227523
Grabserberg;9472;2;Grabs;SG;749622;227719
Grafenort;6388;0;Engelberg;OW;671303;191235
Grafenried;3308;0;Fraubrunnen;BE;605778;213949
Grafstal;8310;1;Lindau;ZH;695002;255548
Graltshausen;8572;3;Berg (TG);TG;731220;273277
Grancia;6916;0;Grancia;TI;715516;91699.1
Grancy;1117;0;Grancy;VD;525322;160514
Grand-Lancy;1212;0;Lancy;GE;498259;115400
Grandcour;1543;0;Grandcour;VD;561259;191323
Grandevent;1421;2;Grandevent;VD;536511;187816
Grandfontaine;2908;0;Grandfontaine;JU;562333;249109
Grandsivaz;1775;3;Montagny (FR);FR;565039;181680
Grandson;1422;0;Grandson;VD;539316;184437
Grandval;2745;0;Grandval;BE;598892;236628
Grandvaux;1091;0;Bourg-en-Lavaux;VD;544540;149410
Grandvillard;1666;0;Grandvillard;FR;572923;154228
Granges (Veveyse);1614;0;Granges (Veveyse);FR;553395;152776
Granges VS;3977;0;Sierre;VS;601999;123114
Granges-Paccot;1763;0;Granges-Paccot;FR;577327;186036
Granges-de-Vesin;1484;2;Les Montets;FR;554513;184743
Granges-près-Marnand;1523;0;Valbroye;VD;558058;178898
Grangettes-près-Romont;1686;0;Grangettes;FR;563737;169577
Granois (Savièse);1965;3;Savièse;VS;592078;122008
Grasswil;3365;0;Seeberg;BE;617559;221482
Grattavache;1624;2;La Verrerie;FR;559800;160573
Gravesano;6929;0;Gravesano;TI;714417;100088
Greich;3983;5;Riederalp;VS;646319;135141
Greifensee;8606;2;Greifensee;ZH;693377;247104
Grellingen;4203;0;Grellingen;BL;611178;254292
Grenchen;2540;0;Grenchen;SO;597619;226448
Greng;3280;4;Greng;FR;573542;195908
Grengiols;3993;0;Grengiols;VS;650388;135811
Grenilles;1726;3;Farvagny;FR;570132;175216
Grens;1274;3;Grens;VD;504125;138939
Greppen;6404;0;Greppen;LU;675323;212084
Gresso;6611;16;Gresso;TI;690838;119958
Gressy;1432;2;Yverdon-les-Bains;VD;538630;177737
Gretschins;9479;2;Wartau;SG;755537;218350
Gretzenbach;5014;0;Gretzenbach;SO;642593;245416
Grimentz;3961;26;Anniviers;VS;610093;114441
Grimisuat;1971;0;Grimisuat;VS;595739;123029
Grindel;4247;0;Grindel;SO;605081;247763
Grindelwald;3818;0;Grindelwald;BE;646504;163902
Grolley;1772;0;Grolley;FR;571964;187014
Grono;6537;0;Grono;GR;731862;122969
Gross;8841;0;Einsiedeln;SZ;701524;219185
Grossaffoltern;3257;0;Grossaffoltern;BE;594456;212806
Grossdietwil;6146;0;Grossdietwil;LU;634329;224254
Grosshöchstetten;3506;0;Grosshöchstetten;BE;615467;195127
Grosswangen;6022;0;Grosswangen;LU;646385;220437
Grub AR;9035;0;Grub (AR);AR;756301;257001
Grub SG;9036;0;Eggersriet;SG;756387;258064
Gruben;3946;2;Turtmann-Unterems;VS;620626;117734
Grugnay (Chamoson);1955;4;Chamoson;VS;582644;117399
Grund b. Gstaad;3783;0;Saanen;BE;587323;143403
Gruyères;1663;0;Gruyères;FR;572769;159202
Gryon;1882;0;Gryon;VD;571030;124743
Grächen;3925;0;Grächen;VS;631301;115888
Gränichen;5722;0;Gränichen;AG;649534;245385
Gräslikon;8415;1;Berg am Irchel;ZH;687776;267897
Grône;3979;0;Grône;VS;601210;122251
Grünen;3455;0;Sumiswald;BE;622925;208094
Grünenmatt;3452;0;Lützelflüh;BE;621846;206584
Grüningen;8627;0;Grüningen;ZH;700150;238051
Grüsch;7214;0;Grüsch;GR;767995;205851
Grüt (Gossau ZH);8624;0;Gossau (ZH);ZH;701574;240888
Gstaad;3780;0;Saanen;BE;588299;147082
Gsteig b. Gstaad;3785;0;Gsteig;BE;586812;137046
Gsteigwiler;3814;0;Gsteigwiler;BE;633694;167132
Guarda;7545;0;Scuol;GR;807194;184270
Gudo;6515;0;Gudo;TI;716789;114890
Guggisberg;3158;0;Guggisberg;BE;591378;179548
Gumefens;1643;0;Pont-en-Ogoz;FR;572317;169593
Gundetswil;8543;1;Wiesendangen;ZH;704283;266288
Guntalingen;8468;2;Waltalingen;ZH;699720;276795
Gunten;3654;0;Sigriswil;BE;620135;173727
Guntershausen b. Aadorf;8357;0;Aadorf;TG;711740;258933
Guntershausen b. Berg;8572;4;Berg (TG);TG;731443;270501
Gunterswilen;8564;8;Wäldi;TG;723103;277321
Guntmadingen;8223;0;Beringen;SH;683987;282308
Gunzgen;4617;0;Gunzgen;SO;629834;240611
Gunzwil;6222;0;Beromünster;LU;655797;229329
Gurbrü;3208;0;Gurbrü;BE;583212;201470
Gurmels;3212;0;Gurmels;FR;579673;193547
Gurtnellen;6482;0;Gurtnellen;UR;691021;177256
Gurzelen;3663;0;Gurzelen;BE;606848;180933
Guschelmuth;1792;2;Gurmels;FR;576889;192208
Gutenburg;4932;2;Madiswil;BE;627348;225744
Gutenswil;8605;0;Volketswil;ZH;696176;248877
Guttannen;3864;0;Guttannen;BE;664761;167471
